"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"615","Striegistal",14522540,"09661"
"616","Dinkelsbühl",9571136,"91550"
"617","Dießen am Ammersee",9181114,"86911"
"618","Kalbach",6631016,"36148"
"619","Halle (Saale)",15002000,"06132"
"620","Ruhstorf a.d. Rott",9275145,"94099"
"621","Glauchau",14524080,"08371"
"622","Heiden",5554028,"46359"
"623","Leiblfing",9278146,"94339"
"624","Lippstadt",5974028,"59558"
"625","Villingen-Schwenningen",8326074,"78052"
"626","Bargenstedt",1051004,"25704"
"627","Oldenburg (Oldb)",3403000,"26131"
"628","Eitensheim",9176124,"85117"
"629","Bonn",5314000,"53177"
"630","Hahnbach",9371126,"92256"
"631","Bad Laasphe",5970028,"57334"
"632","Otterstadt",7338021,"67166"
"633","Prenzlau",12073452,"17291"
"634","Bernburg (Saale)",15089030,"06406"
"635","Neuenkirchen",5566060,"48485"
"636","Bobingen",9772125,"86399"
"637","Meßkirch",8437078,"88605"
"638","Munningen",9779188,"86754"
"639","Hunderdorf",9278139,"94336"
"640","Konz",7235068,"54329"
"641","Bad Langensalza",16064003,"99958"
"642","Dahlem",5366012,"53949"
"643","Polling",9190142,"82398"
"644","Mügeln",14730200,"04769"
"645","Tröstau",9479161,"95709"
"646","Eckersdorf",9472131,"95488"
"647","Bad Münstereifel",5366004,"53902"
"648","Westhausen",8136082,"73463"
"649","Kernen im Remstal",8119093,"71394"
"650","Mönchengladbach",5116000,"41238"
"651","Tirschenreuth",9377154,"95643"
"652","Kelbra (Kyffhäuser)",15087250,"06537"
"653","Roding",9372153,"93426"
"654","Dillingen/Saar",10044111,"66763"
"655","Niederwinkling",9278159,"94559"
"656","Forchtenberg",8126028,"74670"
"657","Ahorn",9473112,"96482"
"658","Neuss",5162024,"41470"
"659","Fell",7235022,"54341"
"660","Kutenholz",3359031,"27449"
"661","Teutschenthal",15088365,"06179"
"662","Oberstadion",8425091,"89613"
"663","Bad Endorf",9187128,"83093"
"664","Hohenthann",9274141,"84098"
"665","Boffzen",3255004,"37691"
"666","Hohenstadt",8117031,"73345"
"667","Contwig",7340206,"66497"
"668","Pretzfeld",9474161,"91362"
"669","Telgte",5570044,"48291"
"670","Billerbeck",5558008,"48727"
"671","Sinzing",9375199,"93161"
"672","Essen",5113000,"45357"
"673","Steinfurt",5566084,"48565"
"674","Bubenreuth",9572119,"91088"
"675","Kirchroth",9278141,"94356"
"676","Hebertsfelden",9277124,"84332"
"677","Bad Waldsee",8436009,"88339"
"678","Fuhlendorf",1060023,"24649"
"679","Oerel",3357035,"27432"
"680","Kassel",6611000,"34125"
"681","Papenburg",3454041,"26871"
"682","Bochum",5911000,"44797"
"683","Dettelbach",9675117,"97337"
"684","Ravensburg",8436064,"88212"
"685","Bad Honnef",5382008,"53604"
"686","Hämelhausen",3256009,"27324"
"687","Hergensweiler",9776115,"88138"
"688","Markranstädt",14729270,"04420"
"689","Unna",5978036,"59423"
"690","Titz",5358056,"52445"
"691","Ettlingen",8215017,"76275"
"692","Tübingen",8416041,"72074"
"693","Berlin",11000000,"13089"
"694","Bergisch Gladbach",5378004,"51469"
"695","Rothenburg ob der Tauber",9571193,"91541"
"696","Ludwigshafen am Rhein",7314000,"67069"
"697","Rödental",9473159,"96472"
"698","Pfullendorf",8437088,"88630"
"699","Hürth",5362028,"50354"
"700","Ratekau",1055035,"23689"
"701","Ockfen",7235098,"54441"
"702","Stadtlohn",5554056,"48703"
"703","Witzenhausen",6636016,"37215"
"704","Leichlingen (Rhld.)",5378016,"42799"
"705","Pappenheim",9577158,"91788"
"706","Schwalmtal",5166024,"41366"
"707","Handrup",3454017,"49838"
"708","Großrinderfeld",8128045,"97950"
"709","Schöntal",8126072,"74214"
"710","Ilmmünster",9186130,"85304"
"711","Nördlingen",9779194,"86720"
"712","Sulzbach-Rosenberg",9371151,"92237"
"713","Haselbach",9278134,"94354"
"714","Lauffen am Neckar",8125056,"74348"
"715","Riesa",14627230,"01589"
